player,total_passes,total_completed,total_uncompleted,total_percentage%,f3_passes,f3_completed,f3_uncompleted,f3_percentage%,short_passes,short_completed,short_uncompleted,short_percentage%,long_passes,long_completed,long_uncompleted,long_percentage%,average_pass_length,crosses,crosses_completed,crosses_uncompleted,crosses_percentage%,total_shot_assists,total_goal_assists,dribbles,dribbles_completed,dribbles_f3,dribbles_f3_completed,fouls_won,team,MP,competition,total_shots,onTarget,offTarget,post,blocked,goals,xG_total,onTarget_percentage%,Shot_to_goal_ratio,Shot_onTarget_to_goal_ratio,xG/shot,recoveries,duels,duels_won,fouls_committed,shot_blocked,clearances,pressure,interceptions,total_goals_against,penalty_goals_against,penalty_saves,non_penalty_goals_against,penalty_onTarget_attempts,penalty_saves_percentage%,shot_onTarget_saved,save%,save_both_hands,save_chest,save_head,save_left_foot,save_left_hand,right_foot,save_right_hand,position,group
Ager Aketxe Barrutia,95,70,25,73.68421052631578,12,9,3,75.0,52,47,5,90.38461538461539,15,7,8,46.666666666666664,16.01581880743579,5,0,5,0.0,1,0,2,1,1,1,3,Athletic Club,3,Spain - La Liga,4,1,3,0,0,0,0.169452501,25.0,0.0,0.0,0.04236312525,6,11,5,0,3,1,30,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Wing,Forwards
Alberto De La Bella Madureño,808,599,209,74.13366336633663,84,53,31,63.095238095238095,362,320,42,88.39779005524862,97,31,66,31.958762886597935,18.26186072253193,38,8,30,21.052631578947366,8,0,10,5,7,4,16,Real Sociedad,15,Spain - La Liga,4,0,2,0,2,0,0.271799965,0.0,0.0,0.0,0.06794999125,34,55,13,21,35,47,150,30,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Back,Defenders
Alberto García Cabrera,206,102,104,49.51456310679612,43,8,35,18.6046511627907,49,48,1,97.95918367346938,137,35,102,25.547445255474454,49.08030286358447,0,0,0,0.0,0,0,0,0,0,0,1,Sporting Gijón,6,Spain - La Liga,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,31,0,0,0,1,0,0,0,13,1,2,12,3,66.66666666666666,25,67.56756756756756,21,0,0,1,0,2,1,Goalkeeper,Goalkeepers
Alberto Guitián Ceballos,28,17,11,60.71428571428571,5,1,4,20.0,3,3,0,100.0,8,3,5,37.5,27.05280711456857,0,0,0,0.0,0,0,1,1,0,0,0,Sporting Gijón,1,Spain - La Liga,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4,3,1,1,2,5,10,3,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Right Center Back,Defenders
Alberto Lopo García,342,262,80,76.60818713450293,48,16,32,33.33333333333333,171,165,6,96.49122807017544,58,15,43,25.862068965517242,24.87828205783579,0,0,0,0.0,1,0,1,1,0,0,6,RC Deportivo La Coruña,10,Spain - La Liga,4,0,4,0,0,0,0.275011138,0.0,0.0,0.0,0.0687527845,20,31,9,8,15,38,67,13,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Right Center Back,Defenders
Alberto Lora Ramos,1333,999,334,74.94373593398349,177,90,87,50.847457627118644,687,633,54,92.13973799126637,171,44,127,25.730994152046783,18.617105722112317,37,12,25,32.432432432432435,17,3,19,11,10,6,27,Sporting Gijón,31,Spain - La Liga,6,0,1,0,4,0,0.153656926,0.0,0.0,0.0,0.025609487666666667,106,114,36,33,62,79,362,63,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Right Back,Defenders
Alberto Mateus Contreiras Gonçalves,241,155,86,64.31535269709543,36,14,22,38.88888888888889,97,91,6,93.81443298969072,7,3,4,42.857142857142854,13.716783259863236,6,1,5,16.666666666666664,8,1,12,6,9,4,18,Rayo Vallecano,28,Spain - La Liga,25,11,10,0,2,4,4.6521398309999995,44.0,16.0,36.36363636363637,0.18608559323999999,28,75,10,19,13,19,158,6,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Center Forward,Forwards
Aleix Vidal Parreu,451,386,65,85.58758314855875,36,25,11,69.44444444444444,292,275,17,94.17808219178082,19,9,10,47.368421052631575,16.123091703161506,12,1,11,8.333333333333332,3,1,6,2,1,0,6,Barcelona,9,Spain - La Liga,1,0,1,0,0,0,0.024603646,0.0,0.0,0.0,0.024603646,25,9,4,8,10,11,73,8,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Right Back,Defenders
Alejandro Arribas Garrido,1144,841,303,73.51398601398601,148,49,99,33.108108108108105,528,498,30,94.31818181818183,196,48,148,24.489795918367346,23.136669260733775,1,0,1,0.0,4,0,12,7,1,0,36,RC Deportivo La Coruña,31,Spain - La Liga,12,4,4,0,3,2,1.385663744,33.33333333333333,16.666666666666664,50.0,0.11547197866666666,93,117,40,35,51,179,293,76,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Right Center Back,Defenders
Alejandro Barrera García,35,24,11,68.57142857142857,3,2,1,66.66666666666666,19,16,3,84.21052631578947,1,0,1,0.0,14.288836544516572,0,0,0,0.0,0,0,1,1,1,1,0,Sporting Gijón,5,Spain - La Liga,2,1,0,0,1,0,0.114253789,50.0,0.0,0.0,0.0571268945,2,8,3,1,1,0,29,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Center Attacking Midfield,Midfielders
Alejandro Bergantiños García,876,687,189,78.42465753424658,153,97,56,63.39869281045751,481,439,42,91.26819126819127,66,33,33,50.0,16.958876743136713,2,0,2,0.0,20,0,10,7,3,3,11,RC Deportivo La Coruña,22,Spain - La Liga,16,4,4,1,6,2,1.145975365,25.0,12.5,50.0,0.0716234603125,115,107,36,23,36,38,357,30,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Right Defensive Midfield,Midfielders
Alejandro Menéndez Díez,392,239,153,60.96938775510205,43,16,27,37.2093023255814,179,147,32,82.12290502793296,80,15,65,18.75,20.335262222382244,32,7,25,21.875,12,1,31,15,17,6,5,Sporting Gijón,21,Spain - La Liga,18,5,4,0,5,2,1.235945887,27.77777777777778,11.11111111111111,40.0,0.06866366038888888,48,53,17,12,29,24,204,26,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Wing,Forwards
