player,total_passes,total_completed,total_uncompleted,total_percentage%,f3_passes,f3_completed,f3_uncompleted,f3_percentage%,short_passes,short_completed,short_uncompleted,short_percentage%,long_passes,long_completed,long_uncompleted,long_percentage%,average_pass_length,crosses,crosses_completed,crosses_uncompleted,crosses_percentage%,total_shot_assists,total_goal_assists,dribbles,dribbles_completed,dribbles_f3,dribbles_f3_completed,fouls_won,team,MP,competition,total_shots,onTarget,offTarget,post,blocked,goals,xG_total,onTarget_percentage%,Shot_to_goal_ratio,Shot_onTarget_to_goal_ratio,xG/shot,recoveries,duels,duels_won,fouls_committed,shot_blocked,clearances,pressure,interceptions,total_goals_against,penalty_goals_against,penalty_saves,non_penalty_goals_against,penalty_onTarget_attempts,penalty_saves_percentage%,shot_onTarget_saved,save%,save_both_hands,save_chest,save_head,save_left_foot,save_left_hand,right_foot,save_right_hand,position,group
Erik Durm,527,404,123,76.66034155597723,58,34,24,58.620689655172406,298,262,36,87.91946308724832,49,18,31,36.734693877551024,17.204706441521214,19,5,14,26.31578947368421,7,1,20,14,7,4,10,Borussia Dortmund,14,Germany - 1. Bundesliga,12,4,4,0,4,1,1.421064859,33.33333333333333,8.333333333333332,25.0,0.11842207158333333,63,35,12,13,26,27,133,11,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Back,Defenders
Ermin Bičakčić,760,631,129,83.02631578947368,82,39,43,47.5609756097561,462,449,13,97.18614718614718,85,30,55,35.294117647058826,20.573142739327988,1,0,1,0.0,2,0,4,2,1,1,21,Hoffenheim,21,Germany - 1. Bundesliga,8,0,2,1,2,0,0.976166784,0.0,0.0,0.0,0.122020848,50,62,16,13,54,130,160,23,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Center Back,Defenders
Eugen Polanski,899,691,208,76.86318131256952,158,78,80,49.36708860759494,589,526,63,89.30390492359932,79,21,58,26.582278481012654,18.4693002950707,8,2,6,25.0,14,3,24,16,6,4,48,Hoffenheim,27,Germany - 1. Bundesliga,24,5,11,1,6,1,1.5745032603,20.833333333333336,4.166666666666666,20.0,0.0656043025125,109,99,30,44,49,34,554,24,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Defensive Midfield,Midfielders
Fabian Frei,441,336,105,76.19047619047619,55,28,27,50.90909090909091,236,221,15,93.64406779661016,45,20,25,44.44444444444444,19.358193790208983,8,4,4,50.0,7,2,6,3,3,2,4,FSV Mainz 05,17,Germany - 1. Bundesliga,11,3,3,1,3,0,0.577496491,27.27272727272727,0.0,0.0,0.052499681,50,54,12,23,28,23,220,18,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Defensive Midfield,Midfielders
Fabian Holland,451,281,170,62.3059866962306,120,52,68,43.333333333333336,110,95,15,86.36363636363636,97,31,66,31.958762886597935,21.757936545506873,12,2,10,16.666666666666664,5,0,5,4,2,1,25,Darmstadt 98,18,Germany - 1. Bundesliga,3,0,1,1,1,0,0.034541468,0.0,0.0,0.0,0.011513822666666666,64,73,29,36,31,50,335,24,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Back,Defenders
Fabian Johnson,917,706,211,76.99018538713194,68,34,34,50.0,641,558,83,87.05148205928236,34,15,19,44.11764705882353,13.831177161384078,20,7,13,35.0,26,3,37,17,19,8,26,Borussia Mönchengladbach,26,Germany - 1. Bundesliga,26,11,6,1,5,6,3.550033083,42.30769230769231,23.076923076923077,54.54545454545454,0.13653973396153846,88,71,20,15,55,22,294,15,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Midfield,Midfielders
Fabian Lukas Schär,888,705,183,79.3918918918919,157,71,86,45.22292993630573,446,422,24,94.61883408071749,167,70,97,41.91616766467065,24.99270859129054,0,0,0,0.0,5,0,9,7,2,2,21,Hoffenheim,24,Germany - 1. Bundesliga,18,3,10,0,3,1,1.1691647187,16.666666666666664,5.555555555555555,33.33333333333333,0.06495359548333333,68,63,11,32,46,122,172,25,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Right Center Back,Defenders
Fabian Lustenberger,1389,1221,168,87.90496760259178,100,51,49,51.0,852,816,36,95.77464788732394,115,58,57,50.43478260869565,21.542645521432743,0,0,0,0.0,8,0,5,4,1,1,51,Hertha Berlin,30,Germany - 1. Bundesliga,10,4,2,1,1,1,0.79519226,40.0,10.0,25.0,0.079519226,91,105,40,32,56,127,443,27,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Center Back,Defenders
Fabian Reese,3,2,1,66.66666666666666,0,0,0,0.0,1,1,0,100.0,0,0,0,0.0,7.3267270788,0,0,0,0.0,1,0,0,0,0,0,0,Schalke 04,1,Germany - 1. Bundesliga,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Center Forward,Forwards
Federico Barba,75,60,15,80.0,9,4,5,44.44444444444444,42,39,3,92.85714285714286,7,4,3,57.14285714285714,18.8982095670816,0,0,0,0.0,0,0,0,0,0,0,2,VfB Stuttgart,2,Germany - 1. Bundesliga,1,1,0,0,0,1,0.09638612,100.0,100.0,100.0,0.09638612,8,5,1,3,5,7,19,4,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Center Back,Defenders
Felipe Trevizan Martins,28,20,8,71.42857142857143,4,3,1,75.0,9,9,0,100.0,5,2,3,40.0,21.239602961400003,0,0,0,0.0,0,0,2,1,1,1,5,Hannover 96,8,Germany - 1. Bundesliga,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,6,1,4,2,10,8,4,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Center Attacking Midfield,Midfielders
Felix Klaus,208,148,60,71.15384615384616,10,4,6,40.0,115,95,20,82.6086956521739,12,7,5,58.333333333333336,14.037984704596154,3,2,1,66.66666666666666,5,0,23,10,16,9,29,Hannover 96,18,Germany - 1. Bundesliga,19,8,5,0,6,1,0.954723985,42.10526315789473,5.263157894736842,12.5,0.05024863078947368,34,47,12,14,18,7,176,9,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Wing,Forwards
Felix Kroos,101,75,26,74.25742574257426,20,11,9,55.00000000000001,50,44,6,88.0,11,3,8,27.27272727272727,16.82731957841822,1,0,1,0.0,3,0,2,1,0,0,5,Werder Bremen,8,Germany - 1. Bundesliga,7,0,4,0,3,0,1.087298366,0.0,0.0,0.0,0.15532833799999998,16,12,6,7,6,9,71,5,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Center Midfield,Midfielders
Felix Passlack,126,107,19,84.92063492063492,13,10,3,76.92307692307693,88,82,6,93.18181818181817,5,1,4,20.0,15.144467156485714,2,0,2,0.0,1,0,1,0,1,0,1,Borussia Dortmund,3,Germany - 1. Bundesliga,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6,11,3,1,2,2,34,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Back,Defenders
Felix Platte,49,24,25,48.97959183673469,11,5,6,45.45454545454545,15,11,4,73.33333333333333,7,1,6,14.285714285714285,16.750527586207347,2,0,2,0.0,2,0,4,2,2,1,4,Darmstadt 98,12,Germany - 1. Bundesliga,4,0,3,0,1,0,0.320729054,0.0,0.0,0.0,0.0801822635,9,20,2,7,3,1,36,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Center Forward,Forwards
Felix Wiedwald,1033,633,400,61.27783155856727,131,42,89,32.06106870229007,245,242,3,98.77551020408163,700,312,388,44.57142857142857,44.36361885871202,0,0,0,0.0,0,0,1,1,0,0,8,Werder Bremen,34,Germany - 1. Bundesliga,1,0,1,0,0,0,0.06938283,0.0,0.0,0.0,0.06938283,159,0,0,2,2,2,8,0,62,6,0,56,6,0.0,109,66.06060606060606,70,3,0,5,5,13,13,Goalkeeper,Goalkeepers
Filip Kostić,1089,589,500,54.08631772268136,94,42,52,44.680851063829785,489,354,135,72.39263803680981,239,75,164,31.380753138075313,19.728742982897188,162,45,117,27.77777777777778,71,5,88,50,51,32,47,VfB Stuttgart,30,Germany - 1. Bundesliga,47,18,13,1,14,5,4.8148091752,38.297872340425535,10.638297872340425,27.77777777777778,0.10244274840851063,153,85,22,41,73,11,545,28,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Midfield,Midfielders
Filip Mladenović,383,277,106,72.32375979112271,29,15,14,51.724137931034484,178,155,23,87.07865168539325,63,26,37,41.269841269841265,19.57247564760188,28,10,18,35.714285714285715,11,2,15,5,6,4,7,FC Köln,14,Germany - 1. Bundesliga,13,5,5,0,2,0,0.5377808119,38.46153846153847,0.0,0.0,0.041367754761538464,47,31,9,13,23,23,157,10,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Back,Defenders
Fin Bartels,663,487,176,73.45399698340876,69,44,25,63.76811594202898,406,338,68,83.2512315270936,45,16,29,35.55555555555556,15.95252649185267,30,9,21,30.0,21,1,78,39,44,23,36,Werder Bremen,30,Germany - 1. Bundesliga,43,20,9,2,8,8,7.130855083,46.51162790697674,18.6046511627907,40.0,0.1658338391395349,118,88,11,20,44,12,426,25,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Right Midfield,Midfielders
Florian Grillitsch,913,670,243,73.38444687842278,120,66,54,55.00000000000001,485,425,60,87.62886597938144,119,48,71,40.33613445378151,19.07391917953262,16,6,10,37.5,19,2,27,12,13,3,43,Werder Bremen,25,Germany - 1. Bundesliga,28,7,8,0,11,1,2.1785521685,25.0,3.571428571428571,14.285714285714285,0.07780543458928571,121,93,32,27,51,28,574,52,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Center Midfield,Midfielders
Florian Jungwirth,492,298,194,60.56910569105691,75,38,37,50.66666666666667,132,108,24,81.81818181818183,76,23,53,30.263157894736842,20.145760248242926,15,6,9,40.0,5,0,3,1,2,1,22,Darmstadt 98,19,Germany - 1. Bundesliga,8,3,4,0,1,0,0.2692674385,37.5,0.0,0.0,0.0336584298125,64,82,31,16,44,63,339,37,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Right Back,Defenders
Florian Klein,670,481,189,71.7910447761194,94,56,38,59.57446808510638,269,241,28,89.59107806691449,68,17,51,25.0,16.92531596337958,29,13,16,44.827586206896555,12,1,12,9,10,7,17,VfB Stuttgart,22,Germany - 1. Bundesliga,14,2,6,0,3,0,0.60190765,14.285714285714285,0.0,0.0,0.04299340357142857,73,84,15,21,41,43,328,26,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Right Back,Defenders
Florian Kohls,3,2,1,66.66666666666666,0,0,0,0.0,2,2,0,100.0,0,0,0,0.0,13.0675087392,0,0,0,0.0,0,0,0,0,0,0,0,Hertha Berlin,1,Germany - 1. Bundesliga,1,0,1,0,0,0,0.019581541,0.0,0.0,0.0,0.019581541,1,1,1,0,0,1,3,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Center Midfield,Midfielders
Florian Niederlechner,37,20,17,54.054054054054056,5,1,4,20.0,22,16,6,72.72727272727273,2,0,2,0.0,14.624831556077837,0,0,0,0.0,0,0,2,0,2,0,4,FSV Mainz 05,12,Germany - 1. Bundesliga,5,2,2,1,0,0,1.479893304,40.0,0.0,0.0,0.2959786608,7,16,1,13,7,4,68,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Center Forward,Forwards
Francisco José Rodriguez Araya,19,16,3,84.21052631578947,4,3,1,75.0,12,11,1,91.66666666666666,3,2,1,66.66666666666666,21.31419832976842,0,0,0,0.0,1,0,0,0,0,0,0,Wolfsburg,1,Germany - 1. Bundesliga,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Center Attacking Midfield,Midfielders
Franck Bilal Ribéry,558,431,127,77.24014336917563,55,37,18,67.27272727272727,396,347,49,87.62626262626263,59,25,34,42.3728813559322,16.299209990025805,37,11,26,29.72972972972973,23,3,61,29,39,19,17,Bayern Munich,13,Germany - 1. Bundesliga,14,7,4,0,3,2,1.684574394,50.0,14.285714285714285,28.57142857142857,0.12032674242857143,41,15,2,11,8,1,124,4,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Midfield,Midfielders
Franco Matías Di Santo,299,185,114,61.87290969899666,37,17,20,45.94594594594595,128,97,31,75.78125,25,13,12,52.0,14.056793939699396,16,10,6,62.5,16,1,17,8,7,3,16,Schalke 04,25,Germany - 1. Bundesliga,23,8,7,0,4,2,1.632220022,34.78260869565217,8.695652173913043,25.0,0.07096608791304349,25,69,12,34,25,14,313,4,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Right Center Forward,Forwards
Frederik Hillesborg Sørensen,905,685,220,75.69060773480662,142,61,81,42.95774647887324,399,375,24,93.98496240601504,190,73,117,38.421052631578945,24.892150059394208,3,1,2,33.33333333333333,1,2,8,5,1,0,18,FC Köln,22,Germany - 1. Bundesliga,4,2,1,0,1,0,0.351399475,50.0,0.0,0.0,0.08784986875,47,83,25,25,51,115,215,25,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Right Center Back,Defenders
Fynn Arkenberg,59,36,23,61.016949152542374,12,4,8,33.33333333333333,19,17,2,89.47368421052632,10,3,7,30.0,18.995551547271866,2,1,1,50.0,0,0,3,2,2,2,3,Hannover 96,2,Germany - 1. Bundesliga,1,0,0,0,1,0,0.030612161,0.0,0.0,0.0,0.030612161,10,10,6,3,8,6,50,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Right Back,Defenders
Gaëtan Bussmann,613,403,210,65.74225122349104,103,47,56,45.63106796116505,199,172,27,86.4321608040201,88,23,65,26.136363636363637,18.927795535231713,19,4,15,21.052631578947366,10,0,5,4,3,2,10,FSV Mainz 05,13,Germany - 1. Bundesliga,7,1,4,0,1,1,0.354069605,14.285714285714285,14.285714285714285,100.0,0.05058137214285714,35,60,21,19,47,49,248,21,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Back,Defenders
Genki Haraguchi,778,558,220,71.72236503856041,70,39,31,55.714285714285715,482,397,85,82.36514522821577,39,18,21,46.15384615384615,14.867374266777377,57,21,36,36.84210526315789,23,3,90,54,47,29,42,Hertha Berlin,32,Germany - 1. Bundesliga,31,13,9,0,8,2,2.641306713,41.935483870967744,6.451612903225806,15.384615384615385,0.08520344235483872,108,128,38,33,60,12,582,16,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Right Wing,Forwards
Georg Niedermeier,638,524,114,82.13166144200626,50,22,28,44.0,350,337,13,96.28571428571429,71,26,45,36.61971830985916,22.020493236597368,0,0,0,0.0,3,1,0,0,0,0,8,VfB Stuttgart,18,Germany - 1. Bundesliga,10,5,1,0,2,3,1.389492751,50.0,30.0,60.0,0.1389492751,41,50,13,22,38,73,127,20,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Center Back,Defenders
Gian-Luca Waldschmidt,72,53,19,73.61111111111111,6,4,2,66.66666666666666,52,40,12,76.92307692307693,5,1,4,20.0,13.055440881700001,5,3,2,60.0,7,1,11,4,10,3,6,Eintracht Frankfurt,12,Germany - 1. Bundesliga,5,1,2,0,2,0,0.49301822,20.0,0.0,0.0,0.098603644,5,14,2,8,6,3,52,2,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Center Forward,Forwards
Gideon Jung,455,350,105,76.92307692307693,63,33,30,52.38095238095239,270,236,34,87.4074074074074,44,19,25,43.18181818181818,17.551837780832493,0,0,0,0.0,3,0,16,9,5,2,26,Hamburger SV,18,Germany - 1. Bundesliga,9,2,3,0,2,0,0.406603479,22.22222222222222,0.0,0.0,0.04517816433333333,74,60,16,27,27,28,295,9,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Right Defensive Midfield,Midfielders
Giulio Donati,1043,720,323,69.03163950143816,186,108,78,58.06451612903226,391,326,65,83.37595907928389,153,53,100,34.64052287581699,19.656717201278543,31,6,25,19.35483870967742,8,1,27,13,13,6,52,FSV Mainz 05,23,Germany - 1. Bundesliga,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,92,82,32,28,44,72,294,32,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Right Back,Defenders
Gojko Kačar,529,412,117,77.882797731569,70,29,41,41.42857142857143,303,273,30,90.0990099009901,41,13,28,31.70731707317073,18.343152981807652,1,1,0,100.0,1,0,5,4,1,0,14,Hamburger SV,19,Germany - 1. Bundesliga,8,4,1,0,2,1,0.659052372,50.0,12.5,25.0,0.0823815465,48,91,27,27,30,30,300,15,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Right Defensive Midfield,Midfielders
Gonzalo Alejandro Jara Reyes,229,178,51,77.72925764192141,30,21,9,70.0,112,105,7,93.75,39,17,22,43.58974358974359,21.236098504433187,2,0,2,0.0,3,0,4,2,0,0,4,FSV Mainz 05,6,Germany - 1. Bundesliga,1,0,0,0,1,0,0.027250867,0.0,0.0,0.0,0.027250867,29,15,2,6,6,11,67,2,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Defensive Midfield,Midfielders
Gonzalo Castro Randon,1016,833,183,81.98818897637796,108,65,43,60.18518518518518,758,680,78,89.70976253298153,55,24,31,43.63636363636363,16.060664266739998,13,0,13,0.0,22,7,35,16,19,10,23,Borussia Dortmund,25,Germany - 1. Bundesliga,19,12,4,1,1,3,1.420698112,63.1578947368421,15.789473684210526,25.0,0.07477358484210526,71,56,20,13,38,8,308,10,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Center Midfield,Midfielders
Gotoku Sakai,1031,761,270,73.81183317167799,111,61,50,54.95495495495496,472,423,49,89.61864406779661,130,50,80,38.46153846153847,17.84463113927907,30,8,22,26.666666666666668,13,1,24,16,7,5,13,Hamburger SV,22,Germany - 1. Bundesliga,11,5,4,0,2,0,0.3679212,45.45454545454545,0.0,0.0,0.03344738181818182,78,96,39,20,41,65,314,42,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Right Back,Defenders
Granit Xhaka,2219,1895,324,85.3988283010365,359,243,116,67.68802228412257,1403,1312,91,93.51389878831077,232,139,93,59.91379310344828,19.903410596566236,4,0,4,0.0,17,0,38,25,6,5,56,Borussia Mönchengladbach,28,Germany - 1. Bundesliga,33,12,11,0,9,3,2.3708822592,36.36363636363637,9.090909090909092,25.0,0.07184491694545454,158,129,42,74,67,72,449,31,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Defensive Midfield,Midfielders
Gustavo Adrián Ramos Vásquez,258,179,79,69.37984496124031,29,16,13,55.172413793103445,144,119,25,82.63888888888889,13,10,3,76.92307692307693,14.110546784963722,5,2,3,40.0,7,3,23,16,20,15,20,Borussia Dortmund,27,Germany - 1. Bundesliga,38,15,11,0,8,9,7.032873515,39.473684210526315,23.684210526315788,60.0,0.1850756188157895,37,63,10,20,16,8,179,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Center Forward,Forwards
György Garics,627,392,235,62.51993620414673,125,51,74,40.8,159,143,16,89.937106918239,127,41,86,32.28346456692913,21.28165533646966,12,5,7,41.66666666666667,3,0,6,5,3,2,7,Darmstadt 98,21,Germany - 1. Bundesliga,3,1,0,0,1,0,0.074839823,33.33333333333333,0.0,0.0,0.024946607666666665,75,49,20,26,40,85,301,22,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Right Back,Defenders
Hakan Çalhanoğlu,1457,997,460,68.42827728208648,202,116,86,57.42574257425742,749,670,79,89.45260347129505,333,124,209,37.23723723723724,19.931473569850493,86,29,57,33.72093023255814,74,5,54,31,31,19,34,Bayer Leverkusen,31,Germany - 1. Bundesliga,86,32,21,4,27,3,5.3141085596,37.2093023255814,3.488372093023256,9.375,0.06179195999534884,130,109,29,34,64,32,475,9,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Midfield,Midfielders
Halil Altıntop,378,298,80,78.83597883597884,45,22,23,48.888888888888886,265,230,35,86.79245283018868,25,12,13,48.0,16.30560752745238,3,0,3,0.0,13,2,19,11,8,3,18,Augsburg,19,Germany - 1. Bundesliga,14,3,7,1,3,1,1.697280667,21.428571428571427,7.142857142857142,33.33333333333333,0.12123433335714286,43,49,10,13,9,9,263,3,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Center Attacking Midfield,Midfielders
Haris Seferović,900,576,324,64.0,97,34,63,35.051546391752574,455,372,83,81.75824175824175,57,23,34,40.35087719298245,15.526143920472,43,14,29,32.55813953488372,20,4,27,15,14,7,32,Eintracht Frankfurt,29,Germany - 1. Bundesliga,58,20,17,1,12,3,6.8247849027,34.48275862068966,5.172413793103448,15.0,0.11766870521896552,71,140,7,53,32,14,436,10,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Center Forward,Forwards
Henrikh Mkhitaryan,1487,1059,428,71.21721587088096,127,62,65,48.818897637795274,971,803,168,82.6982492276004,150,63,87,42.0,16.284688149494446,80,23,57,28.749999999999996,63,13,136,74,69,37,70,Borussia Dortmund,31,Germany - 1. Bundesliga,78,27,27,0,22,11,10.3414526307,34.61538461538461,14.102564102564102,40.74074074074074,0.13258272603461538,151,108,37,58,68,17,602,25,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Right Wing,Forwards
Heung-Min Son,18,14,4,77.77777777777779,2,1,1,50.0,15,12,3,80.0,1,1,0,100.0,13.6632514644,1,0,1,0.0,0,0,3,1,1,1,0,Bayer Leverkusen,1,Germany - 1. Bundesliga,2,0,2,0,0,0,0.41902083,0.0,0.0,0.0,0.209510415,5,1,1,1,1,1,12,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Right Wing,Forwards
Hiroki Sakai,1300,935,365,71.92307692307692,152,76,76,50.0,576,498,78,86.45833333333334,129,41,88,31.782945736434108,17.45991088773231,40,9,31,22.5,11,0,19,11,8,3,22,Hannover 96,26,Germany - 1. Bundesliga,11,3,4,0,2,1,0.690687768,27.27272727272727,9.090909090909092,33.33333333333333,0.0627897970909091,96,128,35,27,62,98,385,44,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Right Back,Defenders
Hiroshi Kiyotake,996,719,277,72.18875502008032,148,102,46,68.91891891891892,586,516,70,88.05460750853243,159,58,101,36.477987421383645,17.55156938400072,48,11,37,22.916666666666664,50,6,59,43,27,17,39,Hannover 96,21,Germany - 1. Bundesliga,28,8,12,0,8,5,3.043975954,28.57142857142857,17.857142857142858,62.5,0.10871342692857143,76,46,10,8,20,3,171,7,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Center Attacking Midfield,Midfielders
Holger Badstuber,395,357,38,90.37974683544304,22,15,7,68.18181818181817,260,257,3,98.84615384615385,31,15,16,48.38709677419355,19.854613187258128,1,0,1,0.0,1,0,0,0,0,0,2,Bayern Munich,7,Germany - 1. Bundesliga,2,1,0,0,0,0,0.179021491,50.0,0.0,0.0,0.0895107455,15,13,4,3,2,14,38,2,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Center Back,Defenders
Hotaru Yamaguchi,167,139,28,83.23353293413174,14,8,6,57.14285714285714,116,108,8,93.10344827586206,7,3,4,42.857142857142854,15.17795963946625,1,0,1,0.0,1,0,1,0,0,0,1,Hannover 96,6,Germany - 1. Bundesliga,3,1,2,0,0,0,0.0895231236,33.33333333333333,0.0,0.0,0.0298410412,13,18,7,3,17,10,112,8,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Right Center Midfield,Midfielders
Hugo Miguel Pereira de Almeida,210,113,97,53.80952380952381,27,10,17,37.03703703703704,57,45,12,78.94736842105263,21,6,15,28.57142857142857,15.681252732500571,11,4,7,36.36363636363637,6,0,4,3,3,3,6,Hannover 96,7,Germany - 1. Bundesliga,14,3,6,0,4,1,0.9104121329999999,21.428571428571427,7.142857142857142,33.33333333333333,0.06502943807142857,13,31,1,4,2,8,45,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Center Forward,Forwards
Håvard Nordtveit,1768,1471,297,83.20135746606336,240,117,123,48.75,1030,979,51,95.04854368932038,204,74,130,36.27450980392157,22.201319869922035,5,3,2,60.0,7,1,9,6,4,3,23,Borussia Mönchengladbach,31,Germany - 1. Bundesliga,22,8,6,0,5,4,0.8659613438,36.36363636363637,18.181818181818183,50.0,0.039361879263636365,126,96,20,29,61,126,346,29,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Center Back,Defenders
Ibrahima Traoré,775,569,206,73.41935483870968,61,37,24,60.65573770491803,497,409,88,82.29376257545272,107,47,60,43.925233644859816,17.969293008544412,47,16,31,34.04255319148936,34,1,94,60,42,25,43,Borussia Mönchengladbach,24,Germany - 1. Bundesliga,41,15,11,1,14,3,3.0379410776,36.58536585365854,7.317073170731707,20.0,0.07409612384390245,78,64,26,18,31,6,356,6,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Right Midfield,Midfielders
Ismail Azzaoui,9,7,2,77.77777777777779,1,1,0,100.0,8,7,1,87.5,0,0,0,0.0,12.5489905484,2,0,2,0.0,0,0,1,1,1,1,0,Wolfsburg,2,Germany - 1. Bundesliga,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Right Wing,Forwards
Ivan Perišić,84,59,25,70.23809523809523,9,7,2,77.77777777777779,53,44,9,83.01886792452831,9,3,6,33.33333333333333,16.644130279654284,9,1,8,11.11111111111111,2,0,2,1,0,0,1,Wolfsburg,2,Germany - 1. Bundesliga,3,1,1,0,1,1,0.21428855800000002,33.33333333333333,33.33333333333333,100.0,0.07142951933333334,5,3,1,1,4,0,25,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Wing,Forwards
Iver Tobias Rørvik Fossum,323,235,88,72.75541795665634,36,21,15,58.333333333333336,208,180,28,86.53846153846155,15,7,8,46.666666666666664,14.143261665270094,7,2,5,28.57142857142857,10,0,13,7,5,2,9,Hannover 96,9,Germany - 1. Bundesliga,13,4,5,0,3,0,0.833202707,30.76923076923077,0.0,0.0,0.06409251592307692,27,30,4,12,24,8,263,8,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Center Midfield,Midfielders
Ivica Olić,54,32,22,59.25925925925925,1,0,1,0.0,25,16,9,64.0,4,0,4,0.0,12.423328141186666,5,0,5,0.0,1,0,1,1,1,1,0,Hamburger SV,9,Germany - 1. Bundesliga,5,1,1,0,3,0,0.322016158,20.0,0.0,0.0,0.0644032316,6,11,1,7,4,2,59,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Right Center Forward,Forwards
Ivo Iličević,839,602,237,71.75208581644816,102,62,40,60.78431372549019,513,427,86,83.23586744639377,68,26,42,38.23529411764706,15.761189619978737,44,8,36,18.181818181818183,26,2,69,44,29,19,47,Hamburger SV,31,Germany - 1. Bundesliga,43,15,20,0,6,4,4.370990323,34.883720930232556,9.30232558139535,26.666666666666668,0.10165093774418604,116,115,40,44,48,14,519,19,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,Left Wing,Forwards
