index,player,recoveries,duels,duels_won,fouls_committed,shot_blocked,clearances,pressure,interceptions,team,MP,competition
131,Diego Javier Llorente Ríos,152,159,31,61,63,135,436,76,Rayo Vallecano,33,Spain - La Liga
132,Diego Mainz García,8,14,2,3,5,23,33,9,Granada,5,Spain - La Liga
133,Diego Mariño Villar,131,0,0,0,2,0,2,0,Levante UD,23,Spain - La Liga
134,Diego Roberto Godín Leal,105,127,36,38,43,155,241,75,Atlético Madrid,31,Spain - La Liga
135,Dimitri Foulquier,69,60,23,28,38,38,248,44,Granada,21,Spain - La Liga
136,Diogo José Rosário Gomes Figueiras,23,14,5,5,5,7,48,2,Sevilla,4,Spain - La Liga
137,Duje Čop,67,112,13,35,29,6,394,15,Málaga,31,Spain - La Liga
138,Eddy Silvestre Pascual İsrafilov,12,14,5,11,10,4,56,6,Eibar,6,Spain - La Liga
139,Edgar Antonio Méndez Ortega,33,46,17,30,6,14,175,13,Granada,15,Spain - La Liga
140,Egor Filipenko,19,20,8,3,16,36,56,22,Málaga,8,Spain - La Liga
141,Emiliano Buendía,65,50,18,22,15,9,204,21,Getafe,17,Spain - La Liga
142,Emiliano Daniel Velázquez Maldonado,39,50,17,15,16,52,119,32,Getafe,11,Spain - La Liga
143,Eneko Bóveda Altube,71,73,20,22,36,70,253,47,Athletic Club,23,Spain - La Liga
144,Eneko Capilla González,1,0,0,0,0,0,1,0,Real Sociedad,1,Spain - La Liga
145,Enrique Sola Clemente,1,11,0,1,1,2,15,0,Athletic Club,5,Spain - La Liga
146,Enzo Nicolás Pérez,66,60,21,36,32,30,277,24,Valencia,20,Spain - La Liga
147,Enzo Pablo Roco Roco,70,62,16,39,48,147,241,51,Espanyol,33,Spain - La Liga
148,Eric Bertrand Bailly,89,81,27,36,39,128,188,46,Villarreal,25,Spain - La Liga
149,Esteban Félix Granero Molina,38,50,22,24,22,12,249,18,Real Sociedad,15,Spain - La Liga
150,Fabián Ariel Orellana Valenzuela,194,106,23,32,39,43,374,39,Celta Vigo,34,Spain - La Liga
151,Fabián Ruiz Peña,29,25,3,9,10,3,107,7,Real Betis,12,Spain - La Liga
152,Fayçal Fajr,144,109,29,34,52,20,531,45,RC Deportivo La Coruña,38,Spain - La Liga
153,Federico Julián Fazio,6,9,3,5,8,16,21,3,Sevilla,4,Spain - La Liga
154,Federico Nicolás Cartabia,87,80,30,22,44,9,374,28,RC Deportivo La Coruña,26,Spain - La Liga
155,Federico Ricca Rostagnol,33,42,14,11,21,24,92,17,Málaga,8,Spain - La Liga
156,Felipe Salvador Caicedo Corozo,43,170,16,55,30,14,315,6,Espanyol,31,Spain - La Liga
157,Fernando Damián Tissone,61,36,14,35,13,18,162,27,Málaga,12,Spain - La Liga
158,Fernando José Torres Sanz,58,109,10,32,27,16,292,4,Atlético Madrid,30,Spain - La Liga
159,Fernando Llorente Torres,26,89,9,38,13,12,204,9,Sevilla,23,Spain - La Liga
160,Fernando Navarro i Corbacho,114,151,55,42,87,69,391,75,RC Deportivo La Coruña,35,Spain - La Liga
161,Filipe Luís Kasmirski,157,166,83,37,65,55,501,88,Atlético Madrid,32,Spain - La Liga
162,Foued Kadir,35,24,7,7,17,6,91,9,Real Betis,8,Spain - La Liga
163,Francisco Alcácer García,43,103,13,20,25,18,389,14,Valencia,34,Spain - La Liga
164,Francisco Casilla Cortés,14,0,0,0,0,0,0,0,Real Madrid,4,Spain - La Liga
165,Francisco Guillermo Ochoa Magaña,53,0,0,0,1,0,2,0,Málaga,11,Spain - La Liga
166,Francisco Javier García Noblejas Hernanz,3,6,2,3,3,3,17,0,Getafe,1,Spain - La Liga
167,Francisco José Molinero Calderón,41,65,23,28,26,55,170,26,Real Betis,20,Spain - La Liga
168,Francisco José Perdomo Borges,20,10,4,4,6,5,75,13,Las Palmas,8,Spain - La Liga
169,Francisco José Sánchez Rodríguez,20,7,2,9,5,2,60,2,Sevilla,4,Spain - La Liga
170,Francisco José Villalba Rodrigo,1,0,0,2,0,0,1,0,Valencia,1,Spain - La Liga
171,Francisco Manuel Rico Castro,68,79,23,47,32,22,283,30,Granada,28,Spain - La Liga
172,Francisco Medina Luna,41,38,10,20,18,1,113,8,Rayo Vallecano,16,Spain - La Liga
173,Francisco Miguel Varela Martín,27,30,7,6,25,19,93,17,Real Betis,14,Spain - La Liga
174,Francisco Montañés Claverías,6,13,5,6,2,4,65,5,Espanyol,7,Spain - La Liga
175,Francisco Portillo Soler,60,35,10,19,15,9,180,11,Real Betis,19,Spain - La Liga
176,Francisco Román Alarcón Suárez,103,55,23,35,21,3,343,24,Real Madrid,31,Spain - La Liga
177,Gabriel Fernández Arenas,216,174,68,76,81,45,725,58,Atlético Madrid,35,Spain - La Liga
178,Gareth Frank Bale,62,39,5,14,18,5,198,24,Real Madrid,23,Spain - La Liga
179,Gaël Kakuta,2,4,2,3,1,0,25,1,Sevilla,2,Spain - La Liga
180,Gerard Gumbau Garriga,1,1,0,0,3,2,19,1,Barcelona,3,Spain - La Liga
181,Gerard Moreno Balaguero,67,148,18,46,31,17,350,19,Espanyol,32,Spain - La Liga
182,Gerard Piqué Bernabéu,141,74,19,17,49,156,184,32,Barcelona,30,Spain - La Liga
183,Germán Alejandro Pezzella,70,110,31,25,56,150,222,60,Real Betis,25,Spain - La Liga
184,Germán Darío Lux,132,0,0,1,0,3,3,0,RC Deportivo La Coruña,29,Spain - La Liga
185,Gerónimo Rulli,155,0,0,2,1,2,9,0,Real Sociedad,36,Spain - La Liga
186,Giedrius Arlauskis,12,2,1,0,0,0,3,0,Espanyol,3,Spain - La Liga
187,Giuseppe Rossi,50,51,7,13,20,8,221,7,Levante UD,17,Spain - La Liga
188,Gonzalo Castro Irizábal,90,55,12,18,34,2,213,18,Málaga,24,Spain - La Liga
189,Gonzalo Escalante,193,201,80,106,86,50,794,74,Eibar,34,Spain - La Liga
190,Gorka Elustondo Urkola,21,24,8,10,10,19,105,18,Athletic Club,11,Spain - La Liga
191,Gorka Iraizoz Moreno,197,0,0,1,0,3,1,0,Athletic Club,37,Spain - La Liga
192,Grzegorz Krychowiak,120,107,45,52,48,84,362,74,Sevilla,26,Spain - La Liga
193,Guilherme Magdalena Siqueira,48,43,20,20,22,31,154,31,Valencia,15,Spain - La Liga
194,Gustavo Daniel Cabral Cáceres,154,145,52,40,53,151,371,79,Celta Vigo,31,Spain - La Liga
195,Heiko Westermann,52,76,27,22,33,148,168,39,Real Betis,20,Spain - La Liga
196,Henok Goitom,2,13,1,3,2,0,13,1,Getafe,2,Spain - La Liga
197,Hernán Arsenio Pérez González,147,109,29,101,53,19,560,37,Espanyol,32,Spain - La Liga
198,Hernán Daniel Santana Trujillo,63,38,18,21,9,11,170,25,Las Palmas,18,Spain - La Liga
199,Hugo Fraile Martín,4,7,0,3,1,3,24,0,Sporting Gijón,3,Spain - La Liga
200,Hugo Mallo Novegil,113,144,47,60,67,116,532,78,Celta Vigo,34,Spain - La Liga
201,Hugo Miguel Almeida Costa Lopes,81,106,48,31,45,77,314,51,Granada,26,Spain - La Liga
202,Héctor Hernández Ortega,17,20,4,2,11,10,63,11,Real Sociedad,13,Spain - La Liga
203,Iago Aspas Juncal,95,126,14,43,33,8,442,19,Celta Vigo,35,Spain - La Liga
204,Iago Herrerín Buisán,11,0,0,0,0,0,1,0,Athletic Club,2,Spain - La Liga
205,Ibai Gómez Pérez,5,7,3,6,2,2,37,0,Athletic Club,5,Spain - La Liga
206,Idriss Carlos Kameni,138,0,0,0,1,1,2,0,Málaga,28,Spain - La Liga
207,Ignacio Camacho Barnola,134,138,47,57,40,63,442,64,Málaga,23,Spain - La Liga
208,Ignacio Cases Mora,121,96,35,52,36,25,454,31,Sporting Gijón,24,Spain - La Liga
209,Igor Lichnovsky Osorio,2,7,4,0,5,9,18,5,Sporting Gijón,2,Spain - La Liga
210,Igor Zubeldia Elorza,1,0,0,0,1,0,4,1,Real Sociedad,1,Spain - La Liga
