index,player,total_shots,onTarget,offTarget,post,blocked,goals,xG_total,onTarget_percentage%,Shot_to_goal_ratio,Shot_onTarget_to_goal_ratio,xG/shot,team,MP,competition
41,Aras Özbiliz,1,0,1,0,0,0,0.0523714,0.0,0.0,0.0,0.0523714,Rayo Vallecano,1,Spain - La Liga
42,Arda Turan,8,3,3,0,1,2,1.193095765,37.5,25.0,66.66666666666666,0.149136970625,Barcelona,7,Spain - La Liga
43,Aritz Aduriz Zubeldia,96,49,26,5,13,20,18.7169077647,51.041666666666664,20.833333333333336,40.816326530612244,0.194967789215625,Athletic Club,31,Spain - La Liga
44,Aritz Elustondo Irribaria,16,6,6,0,2,1,1.642010485,37.5,6.25,16.666666666666664,0.1026256553125,Real Sociedad,12,Spain - La Liga
45,Armindo Tué Na Bangna,48,20,13,0,13,2,3.518182542,41.66666666666667,4.166666666666666,10.0,0.073295469625,Real Sociedad,22,Spain - La Liga
46,Arnaldo Antonio Sanabria Ayala,52,19,17,4,8,11,11.4146459414,36.53846153846153,21.153846153846153,57.89473684210527,0.21951242195,Sporting Gijón,22,Spain - La Liga
47,Arthur Etienne Boka,7,2,3,0,2,0,0.56619843,28.57142857142857,0.0,0.0,0.08088549,Málaga,5,Spain - La Liga
48,Asier Illarramendi Andonegi,22,7,5,0,9,1,1.2959312094,31.818181818181817,4.545454545454546,14.285714285714285,0.05890596406363636,Real Sociedad,17,Spain - La Liga
49,Augusto Matías Fernández,13,4,4,0,2,1,0.845611313,30.76923076923077,7.6923076923076925,25.0,0.06504702407692307,Atlético Madrid,11,Spain - La Liga
50,Aymen Abdennour,7,2,3,0,1,0,0.998068014,28.57142857142857,0.0,0.0,0.14258114485714285,Valencia,5,Spain - La Liga
51,Aymeric Laporte,20,6,2,0,8,3,2.9842405446,30.0,15.0,50.0,0.14921202723,Athletic Club,14,Spain - La Liga
52,Aythami Artiles Oliva,9,2,3,0,1,0,1.3028320180000001,22.22222222222222,0.0,0.0,0.14475911311111112,Las Palmas,8,Spain - La Liga
53,Benoît Trémoulinas,13,5,4,0,3,0,0.794651972,38.46153846153847,0.0,0.0,0.06112707476923077,Sevilla,8,Spain - La Liga
54,Bernard Mensah,2,0,2,0,0,0,0.018181613,0.0,0.0,0.0,0.0090908065,Getafe,2,Spain - La Liga
55,Bernardo José Espinosa Zúñiga,14,5,3,0,1,1,0.825819953,35.714285714285715,7.142857142857142,20.0,0.0589871395,Sporting Gijón,8,Spain - La Liga
56,Beñat Etxebarria Urkiaga,30,9,12,1,7,1,1.1956550934,30.0,3.3333333333333335,11.11111111111111,0.039855169780000005,Athletic Club,19,Spain - La Liga
