index,player,recoveries,duels,duels_won,fouls_committed,shot_blocked,clearances,pressure,interceptions,team,MP,competition
58,Christian Schulz,42,80,13,42,47,156,198,43,Hannover 96,25,Germany - 1. Bundesliga
59,Christian Träsch,115,94,39,32,44,69,418,29,Wolfsburg,29,Germany - 1. Bundesliga
60,Christoph Janker,14,13,4,10,6,15,63,5,Augsburg,11,Germany - 1. Bundesliga
61,Christoph Kramer,177,127,49,42,61,37,635,16,Bayer Leverkusen,28,Germany - 1. Bundesliga
62,Christoph Moritz,13,21,9,8,15,8,105,1,FSV Mainz 05,8,Germany - 1. Bundesliga
63,Claudio Miguel Pizarro Bossio,86,118,16,33,44,10,299,11,Werder Bremen,28,Germany - 1. Bundesliga
64,Cleber Janderson Pereira Reis,91,93,34,23,37,101,228,25,Hamburger SV,23,Germany - 1. Bundesliga
65,Clemens Fritz,251,114,58,52,60,45,493,21,Werder Bremen,29,Germany - 1. Bundesliga
66,Daniel Baier,151,90,29,34,42,64,378,42,Augsburg,28,Germany - 1. Bundesliga
67,Daniel Brosinski,113,95,18,18,58,88,287,26,FSV Mainz 05,30,Germany - 1. Bundesliga
68,Daniel Caligiuri,120,98,28,47,60,3,441,20,Wolfsburg,29,Germany - 1. Bundesliga
69,Daniel Didavi,83,115,25,57,48,20,640,10,VfB Stuttgart,31,Germany - 1. Bundesliga
70,Daniel Ginczek,15,41,0,14,11,7,163,1,VfB Stuttgart,7,Germany - 1. Bundesliga
71,Daniel Schwaab,96,137,30,31,39,112,386,25,VfB Stuttgart,29,Germany - 1. Bundesliga
72,Daniel Tawiah Opare,21,8,2,6,7,9,47,5,Augsburg,4,Germany - 1. Bundesliga
73,Danilo Teodoro Soares,5,3,0,3,4,5,15,2,Ingolstadt,1,Germany - 1. Bundesliga
74,Danny Latza,119,118,43,53,60,44,581,23,FSV Mainz 05,27,Germany - 1. Bundesliga
75,Danny Vieira da Costa,59,82,29,16,44,47,347,24,Ingolstadt,19,Germany - 1. Bundesliga
76,Dante Bonfim da Costa Santos,92,89,26,42,50,90,239,30,Wolfsburg,24,Germany - 1. Bundesliga
77,Dario Lezcano,48,167,14,38,22,9,394,5,Ingolstadt,17,Germany - 1. Bundesliga
78,David Kinsombi,1,4,2,0,8,10,22,4,Eintracht Frankfurt,1,Germany - 1. Bundesliga
79,David Olatukunbo Alaba,158,55,11,11,40,59,206,22,Bayern Munich,30,Germany - 1. Bundesliga
80,David Yelldell,4,0,0,0,0,0,0,0,Bayer Leverkusen,1,Germany - 1. Bundesliga
81,David Ángel Abraham,104,106,38,46,57,160,329,42,Eintracht Frankfurt,31,Germany - 1. Bundesliga
82,Dennis Aogo,78,51,9,27,46,62,189,16,Schalke 04,23,Germany - 1. Bundesliga
83,Dennis Diekmeier,60,68,14,12,27,34,220,12,Hamburger SV,22,Germany - 1. Bundesliga
84,Diego Orlando Benaglio,120,0,0,1,0,0,2,0,Wolfsburg,21,Germany - 1. Bundesliga
85,Dominik Kohr,94,123,52,78,79,75,667,43,Augsburg,31,Germany - 1. Bundesliga
86,Dominik Maroh,58,94,25,28,59,141,289,28,FC Köln,25,Germany - 1. Bundesliga
87,Dominik Stroh-Engel,14,57,1,12,9,7,105,2,Darmstadt 98,15,Germany - 1. Bundesliga
88,Dominique Heintz,139,104,33,32,72,164,371,36,FC Köln,33,Germany - 1. Bundesliga
89,Dong-Won Ji,41,44,7,27,22,5,228,3,Augsburg,21,Germany - 1. Bundesliga
90,Douglas Costa de Souza,98,34,8,26,34,3,285,11,Bayern Munich,27,Germany - 1. Bundesliga
91,Dušan Švento,14,10,0,0,4,3,32,0,FC Köln,7,Germany - 1. Bundesliga
92,Edgar Prib,81,50,22,56,31,25,376,11,Hannover 96,20,Germany - 1. Bundesliga
93,Eduardo Jesús Vargas Rojas,74,96,13,28,19,2,300,5,Hoffenheim,24,Germany - 1. Bundesliga
94,Elias Kachunga,7,27,1,9,3,3,88,1,Ingolstadt,10,Germany - 1. Bundesliga
95,Emiliano Adrián Insúa Zapata,163,107,41,49,91,102,564,51,VfB Stuttgart,33,Germany - 1. Bundesliga
96,Emir Spahić,103,109,24,32,60,180,282,43,Hamburger SV,26,Germany - 1. Bundesliga
97,Erik Durm,63,35,12,13,26,27,133,11,Borussia Dortmund,14,Germany - 1. Bundesliga
98,Ermin Bičakčić,50,62,16,13,54,130,160,23,Hoffenheim,21,Germany - 1. Bundesliga
99,Eugen Polanski,109,99,30,44,49,34,554,24,Hoffenheim,27,Germany - 1. Bundesliga
100,Fabian Frei,50,54,12,23,28,23,220,18,FSV Mainz 05,17,Germany - 1. Bundesliga
101,Fabian Holland,64,73,29,36,31,50,335,24,Darmstadt 98,18,Germany - 1. Bundesliga
102,Fabian Johnson,88,71,20,15,55,22,294,15,Borussia Mönchengladbach,26,Germany - 1. Bundesliga
103,Fabian Lukas Schär,68,63,11,32,46,122,172,25,Hoffenheim,24,Germany - 1. Bundesliga
104,Fabian Lustenberger,91,105,40,32,56,127,443,27,Hertha Berlin,30,Germany - 1. Bundesliga
105,Federico Barba,8,5,1,3,5,7,19,4,VfB Stuttgart,2,Germany - 1. Bundesliga
106,Felipe Trevizan Martins,1,6,1,4,2,10,8,4,Hannover 96,8,Germany - 1. Bundesliga
107,Felix Klaus,34,47,12,14,18,7,176,9,Hannover 96,18,Germany - 1. Bundesliga
108,Felix Kroos,16,12,6,7,6,9,71,5,Werder Bremen,8,Germany - 1. Bundesliga
109,Felix Passlack,6,11,3,1,2,2,34,1,Borussia Dortmund,3,Germany - 1. Bundesliga
110,Felix Platte,9,20,2,7,3,1,36,1,Darmstadt 98,12,Germany - 1. Bundesliga
111,Felix Wiedwald,159,0,0,2,2,2,8,0,Werder Bremen,34,Germany - 1. Bundesliga
112,Filip Kostić,153,85,22,41,73,11,545,28,VfB Stuttgart,30,Germany - 1. Bundesliga
113,Filip Mladenović,47,31,9,13,23,23,157,10,FC Köln,14,Germany - 1. Bundesliga
114,Fin Bartels,118,88,11,20,44,12,426,25,Werder Bremen,30,Germany - 1. Bundesliga
115,Florian Grillitsch,121,93,32,27,51,28,574,52,Werder Bremen,25,Germany - 1. Bundesliga
116,Florian Jungwirth,64,82,31,16,44,63,339,37,Darmstadt 98,19,Germany - 1. Bundesliga
117,Florian Klein,73,84,15,21,41,43,328,26,VfB Stuttgart,22,Germany - 1. Bundesliga
118,Florian Kohls,1,1,1,0,0,1,3,0,Hertha Berlin,1,Germany - 1. Bundesliga
119,Florian Niederlechner,7,16,1,13,7,4,68,1,FSV Mainz 05,12,Germany - 1. Bundesliga
120,Francisco José Rodriguez Araya,3,1,1,0,0,0,0,0,Wolfsburg,1,Germany - 1. Bundesliga
121,Franck Bilal Ribéry,41,15,2,11,8,1,124,4,Bayern Munich,13,Germany - 1. Bundesliga
122,Franco Matías Di Santo,25,69,12,34,25,14,313,4,Schalke 04,25,Germany - 1. Bundesliga
123,Frederik Hillesborg Sørensen,47,83,25,25,51,115,215,25,FC Köln,22,Germany - 1. Bundesliga
124,Fynn Arkenberg,10,10,6,3,8,6,50,1,Hannover 96,2,Germany - 1. Bundesliga
125,Gaëtan Bussmann,35,60,21,19,47,49,248,21,FSV Mainz 05,13,Germany - 1. Bundesliga
126,Genki Haraguchi,108,128,38,33,60,12,582,16,Hertha Berlin,32,Germany - 1. Bundesliga
127,Georg Niedermeier,41,50,13,22,38,73,127,20,VfB Stuttgart,18,Germany - 1. Bundesliga
128,Gian-Luca Waldschmidt,5,14,2,8,6,3,52,2,Eintracht Frankfurt,12,Germany - 1. Bundesliga
129,Gideon Jung,74,60,16,27,27,28,295,9,Hamburger SV,18,Germany - 1. Bundesliga
130,Giulio Donati,92,82,32,28,44,72,294,32,FSV Mainz 05,23,Germany - 1. Bundesliga
131,Gojko Kačar,48,91,27,27,30,30,300,15,Hamburger SV,19,Germany - 1. Bundesliga
132,Gonzalo Alejandro Jara Reyes,29,15,2,6,6,11,67,2,FSV Mainz 05,6,Germany - 1. Bundesliga
133,Gonzalo Castro Randon,71,56,20,13,38,8,308,10,Borussia Dortmund,25,Germany - 1. Bundesliga
134,Gotoku Sakai,78,96,39,20,41,65,314,42,Hamburger SV,22,Germany - 1. Bundesliga
135,Granit Xhaka,158,129,42,74,67,72,449,31,Borussia Mönchengladbach,28,Germany - 1. Bundesliga
136,Gustavo Adrián Ramos Vásquez,37,63,10,20,16,8,179,1,Borussia Dortmund,27,Germany - 1. Bundesliga
137,György Garics,75,49,20,26,40,85,301,22,Darmstadt 98,21,Germany - 1. Bundesliga
138,Hakan Çalhanoğlu,130,109,29,34,64,32,475,9,Bayer Leverkusen,31,Germany - 1. Bundesliga
139,Halil Altıntop,43,49,10,13,9,9,263,3,Augsburg,19,Germany - 1. Bundesliga
140,Haris Seferović,71,140,7,53,32,14,436,10,Eintracht Frankfurt,29,Germany - 1. Bundesliga
141,Henrikh Mkhitaryan,151,108,37,58,68,17,602,25,Borussia Dortmund,31,Germany - 1. Bundesliga
142,Heung-Min Son,5,1,1,1,1,1,12,1,Bayer Leverkusen,1,Germany - 1. Bundesliga
143,Hiroki Sakai,96,128,35,27,62,98,385,44,Hannover 96,26,Germany - 1. Bundesliga
144,Hiroshi Kiyotake,76,46,10,8,20,3,171,7,Hannover 96,21,Germany - 1. Bundesliga
145,Holger Badstuber,15,13,4,3,2,14,38,2,Bayern Munich,7,Germany - 1. Bundesliga
146,Hotaru Yamaguchi,13,18,7,3,17,10,112,8,Hannover 96,6,Germany - 1. Bundesliga
147,Hugo Miguel Pereira de Almeida,13,31,1,4,2,8,45,0,Hannover 96,7,Germany - 1. Bundesliga
148,Håvard Nordtveit,126,96,20,29,61,126,346,29,Borussia Mönchengladbach,31,Germany - 1. Bundesliga
149,Ibrahima Traoré,78,64,26,18,31,6,356,6,Borussia Mönchengladbach,24,Germany - 1. Bundesliga
150,Ivan Perišić,5,3,1,1,4,0,25,0,Wolfsburg,2,Germany - 1. Bundesliga
151,Iver Tobias Rørvik Fossum,27,30,4,12,24,8,263,8,Hannover 96,9,Germany - 1. Bundesliga
152,Ivica Olić,6,11,1,7,4,2,59,0,Hamburger SV,9,Germany - 1. Bundesliga
153,Ivo Iličević,116,115,40,44,48,14,519,19,Hamburger SV,31,Germany - 1. Bundesliga
154,Ja-Cheol Koo,132,102,29,39,51,24,474,20,Augsburg,29,Germany - 1. Bundesliga
155,Jairo Samperio Bustara,131,114,14,44,58,12,511,28,FSV Mainz 05,31,Germany - 1. Bundesliga
156,Jan Kliment,4,19,3,6,0,0,41,0,VfB Stuttgart,8,Germany - 1. Bundesliga
157,Jan Morávek,21,24,8,10,9,4,164,3,Augsburg,11,Germany - 1. Bundesliga
158,Jan Rosenthal,51,112,9,29,21,12,295,8,Darmstadt 98,23,Germany - 1. Bundesliga
159,Jan-Ingwer Callsen-Bracker,27,27,9,14,26,63,81,7,Augsburg,10,Germany - 1. Bundesliga
