index,player,total_shots,onTarget,offTarget,post,blocked,goals,xG_total,onTarget_percentage%,Shot_to_goal_ratio,Shot_onTarget_to_goal_ratio,xG/shot,team,MP,competition
23,André Ramalho Silva,8,0,5,0,2,0,0.563494663,0.0,0.0,0.0,0.070436832875,Bayer Leverkusen,6,Germany - 1. Bundesliga
24,André Schürrle,68,29,18,0,16,9,6.8306696905,42.64705882352941,13.23529411764706,31.03448275862069,0.10045102486029411,Wolfsburg,19,Germany - 1. Bundesliga
25,Anthony Modeste,111,45,30,3,20,15,16.326387633,40.54054054054054,13.513513513513514,33.33333333333333,0.14708457327027027,FC Köln,32,Germany - 1. Bundesliga
26,Anthony Ujah,64,24,17,3,17,11,11.513071902,37.5,17.1875,45.83333333333333,0.17989174846875,Werder Bremen,26,Germany - 1. Bundesliga
27,Arianit Ferati,1,0,1,0,0,0,0.084542595,0.0,0.0,0.0,0.084542595,VfB Stuttgart,1,Germany - 1. Bundesliga
28,Arjen Robben,51,18,21,0,10,4,6.069763036,35.294117647058826,7.8431372549019605,22.22222222222222,0.11901496149019608,Bayern Munich,13,Germany - 1. Bundesliga
29,Aron Jóhannsson,13,3,4,0,4,2,1.8417915077,23.076923076923077,15.384615384615385,66.66666666666666,0.14167626982307693,Werder Bremen,5,Germany - 1. Bundesliga
30,Artem Kravets,16,5,6,1,3,1,1.572038381,31.25,6.25,20.0,0.0982523988125,VfB Stuttgart,10,Germany - 1. Bundesliga
31,Artoms Rudņevs,15,9,3,0,2,2,2.023598758,60.0,13.333333333333334,22.22222222222222,0.13490658386666665,Hamburger SV,7,Germany - 1. Bundesliga
32,Artur Sobiech,30,13,4,0,11,7,4.312303642,43.333333333333336,23.333333333333332,53.84615384615385,0.14374345473333333,Hannover 96,14,Germany - 1. Bundesliga
33,Arturo Erasmo Vidal Pardo,51,19,18,3,8,4,4.03741833,37.254901960784316,7.8431372549019605,21.052631578947366,0.07916506529411765,Bayern Munich,22,Germany - 1. Bundesliga
34,Assani Lukimya-Mulongoti,5,0,2,0,3,0,0.624443662,0.0,0.0,0.0,0.12488873240000001,Werder Bremen,3,Germany - 1. Bundesliga
35,Aytac Sulu,21,9,8,2,1,7,2.226272926,42.857142857142854,33.33333333333333,77.77777777777779,0.10601299647619047,Darmstadt 98,16,Germany - 1. Bundesliga
