index,player,total_passes,total_completed,total_uncompleted,total_percentage%,f3_passes,f3_completed,f3_uncompleted,f3_percentage%,short_passes,short_completed,short_uncompleted,short_percentage%,long_passes,long_completed,long_uncompleted,long_percentage%,average_pass_length,crosses,crosses_completed,crosses_uncompleted,crosses_percentage%,total_shot_assists,total_goal_assists,dribbles,dribbles_completed,dribbles_f3,dribbles_f3_completed,fouls_won,team,MP,competition
463,Zoltán Stieber,2,2.0,0,100.0,0,0,0,0.0,2,2,0,100.0,0,0,0,0.0,18.112531669200003,0,0,0,0.0,0,0,0,0,0,0,0,Hamburger SV,1,Germany - 1. Bundesliga
464,Ádám Szalai,264,182.0,82,68.93939393939394,29,19,10,65.51724137931035,149,122,27,81.87919463087249,4,1,3,25.0,12.447379921617273,7,0,7,0.0,8,1,26,18,13,9,12,Hannover 96,16,Germany - 1. Bundesliga
465,Álvaro Domínguez Soto,302,246.0,56,81.45695364238411,39,11,28,28.205128205128204,184,183,1,99.45652173913044,45,12,33,26.666666666666668,23.09972379862649,0,0,0,0.0,1,0,2,1,1,0,8,Borussia Mönchengladbach,6,Germany - 1. Bundesliga
466,Änis Ben-Hatira,168,115.0,53,68.45238095238095,24,11,13,45.83333333333333,98,82,16,83.6734693877551,12,7,5,58.333333333333336,15.72145446870857,9,5,4,55.55555555555556,3,1,26,15,12,6,17,Eintracht Frankfurt,9,Germany - 1. Bundesliga
467,Ömer Toprak,722,554.0,168,76.73130193905817,116,58,58,50.0,361,342,19,94.73684210526315,142,57,85,40.140845070422536,22.342279331374403,0,0,0,0.0,6,0,8,6,0,0,13,Bayer Leverkusen,19,Germany - 1. Bundesliga
468,Özkan Yıldırım,7,7.0,0,100.0,0,0,0,0.0,7,7,0,100.0,0,0,0,0.0,9.016666090148572,0,0,0,0.0,0,0,1,0,0,0,0,Werder Bremen,1,Germany - 1. Bundesliga
469,Ørjan Håskjold Nyland,214,93.0,121,43.45794392523364,96,29,67,30.208333333333332,17,16,1,94.11764705882352,186,68,118,36.55913978494624,58.046074902706536,0,0,0,0.0,0,0,0,0,0,0,0,Ingolstadt,6,Germany - 1. Bundesliga
470,İlkay Gündoğan,2007,1760.0,247,87.69307424015945,292,217,75,74.31506849315068,1492,1409,83,94.43699731903486,131,58,73,44.274809160305345,18.191332028757667,13,3,10,23.076923076923077,20,3,66,48,23,15,51,Borussia Dortmund,25,Germany - 1. Bundesliga
471,Łukasz Piszczek,1281,1055.0,226,82.35753317720531,124,90,34,72.58064516129032,847,777,70,91.73553719008265,77,31,46,40.25974025974026,16.308692615983137,34,11,23,32.35294117647059,16,3,15,9,4,0,11,Borussia Dortmund,20,Germany - 1. Bundesliga
472,Łukasz Załuska,32,19.0,13,59.375,5,2,3,40.0,1,1,0,100.0,27,15,12,55.55555555555556,51.16351172535,0,0,0,0.0,0,0,0,0,0,0,0,Darmstadt 98,1,Germany - 1. Bundesliga
